name	term	lev	seq	value
"cell-cell junction"	GO:0005911	2	ORTHOMCL8125	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10532	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17211	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL5783	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL5965	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL15475	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL14981	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL14984	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10982	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL5579	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10596	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL4196	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17646	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL5490	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL22100	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL7362	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL2019	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL5598	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL7530	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL4295	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL11622	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL11861	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL5432	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17410	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL22066	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL21269	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL14640	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL3547	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL3603	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8546	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL6396	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10558	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL12188	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL13607	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL13351	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL16076	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL12181	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL7705	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL21796	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL11294	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL1889	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17597	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL20279	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL18912	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL11664	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8638	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL21510	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL9769	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL20174	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL2985	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL12021	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10468	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL11879	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL20345	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL21161	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL15765	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL20484	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL16200	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL20625	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8742	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL6379	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL4010	0
